Date,Slug,Usage,BYOK Usage,Requests,Prompt Tokens,Completion Tokens,Reasoning Tokens
"2026-04-30 14:02:00","anthropic/claude-haiku-4.5","0.051632","0","9","121600","3353","0"
"2026-04-30 14:01:00","anthropic/claude-haiku-4.5","0.054411","0","3","34479","3823","171"
